showBtn|Zobrazit panel prohlížení
printBtn|Vytisknout
nav-left|Předchozí
nav-top|O úroveň výš
nav-right|Následující
downP-Hide|Skrýt panel
downP-ToggleFS|Přepnout full screen
downP-SwitchColorMode|Změnit schéma barev
downP-ChangeLanguage|Změnit jazyk prostředí
downP-Home|Domů
downP-TopicTree|Seznam témat
HEADING_SELECT_LEFT|Vyberte položku z panelu prohlížení
downP-ChapterAnchor|Části vybrané kapitoly
downP-Glossary|Slovník klíčových slov
downP-Fulltext|Fulltextové vyhledávání
keywordList-i__placeholder|Zadejte slovo, stiskněte Enter
fulltextList-i__placeholder|Zadejte slovo, stiskněte Enter
keywordList-i|Zadejte slovo, stiskněte Enter
fulltextList-i|Zadejte slovo, stiskněte Enter
downP-ToggleSide|Přesunout panel na druhou stranu
toolbar__aria-label|Místní navigace tématu
sidebar__aria-label|Hlavní navigace
_viewRepo-h1|👀 Podívejte se na svůj repozitář
_viewRepo-par1|Tento průvodce vám pomůže zobrazit vlastní úložiště v aplikaci HelpViewer. Nejedná se o migraci - některé funkce jsou omezené nebo ještě nemusí fungovat. Ale může to být právě první krok k výběru nástroje, který vám bude vyhovovat. Stačí zadat některé informace níže a kliknutím na vygenerovaný odkaz začít.
_viewRepo-par2|🛈 Tento náhled používá veřejný obsah z GitHubu.<br />Pokud je váš repozitář soukromý, náhled nebude fungovat.<br />Vše se spouští pouze v prohlížeči.
_viewRepo-link|Odkaz
_viewRepo-org|Organizace/Uživatel
_viewRepo-repo|Repozitář
_viewRepo-branch|Větev/Tag
_viewRepo-langs|Podsložky s jazyky
_viewRepo-zip|Procházet ZIP release
downP-ChangeVersion|Najít jinou verzi nápovědy
versionList|Historie verzí
downP-ShowAsBook|Zobrazit všechny kapitoly jako jeden dokument
helpfile|Soubor nápovědy
version|Verze
source|Zdroj
cbPageBreak|Zalomení stránky na konci kapitoly
IconPrint|Tisk ikonek
IconPrintItems|Odebrat;Ponechat;Podle autora
editRepoBtn|Editovat v repozitáři
date|Datum
downP-TogglePresMode|Prezentační režim
downP-UserNotes|Poznámky
notes-add|Přidat poznámku
